id,COD,Nombre,Fecha,FK_Periodo,Anyo,Valor,Variacion_Interanual_IPV
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1191189600000,22,2007,8.5,226.9230769230769
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1183240800000,21,2007,10.8,27.058823529411775
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1175378400000,20,2007,13.5,24.999999999999993
39,IPV921,"Asturias, Principado de. General. Variación anual. ",1167606000000,19,2007,15.8,17.03703703703704
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. ",1191189600000,22,2007,8.5,-46.20253164556962
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. ",1183240800000,21,2007,8.5,0.0
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. ",1175378400000,20,2007,6.1,-28.235294117647065
40,IPV920,"Asturias, Principado de. General. Variación en lo que va de año. ",1167606000000,19,2007,2.6,-57.377049180327866
41,IPV759,"Asturias, Principado de. Vivienda nueva. Índice. ",1191189600000,22,2007,134.93,5089.615384615385
41,IPV759,"Asturias, Principado de. Vivienda nueva. Índice. ",1183240800000,21,2007,132.2,-2.0232713258726878
41,IPV759,"Asturias, Principado de. Vivienda nueva. Índice. ",1175378400000,20,2007,128.09,-3.108925869894089
41,IPV759,"Asturias, Principado de. Vivienda nueva. Índice. ",1167606000000,19,2007,123.96,-3.224295417284729
42,IPV919,"Asturias, Principado de. Vivienda nueva. Variación trimestral. ",1191189600000,22,2007,2.1,-98.30590513068732
42,IPV919,"Asturias, Principado de. Vivienda nueva. Variación trimestral. ",1183240800000,21,2007,3.2,52.38095238095239
42,IPV919,"Asturias, Principado de. Vivienda nueva. Variación trimestral. ",1175378400000,20,2007,3.3,3.124999999999989
42,IPV919,"Asturias, Principado de. Vivienda nueva. Variación trimestral. ",1167606000000,19,2007,2.8,-15.151515151515152
43,IPV918,"Asturias, Principado de. Vivienda nueva. Variación anual. ",1191189600000,22,2007,11.9,325.0000000000001
43,IPV918,"Asturias, Principado de. Vivienda nueva. Variación anual. ",1183240800000,21,2007,12.4,4.201680672268907
43,IPV918,"Asturias, Principado de. Vivienda nueva. Variación anual. ",1175378400000,20,2007,14.7,18.548387096774185
43,IPV918,"Asturias, Principado de. Vivienda nueva. Variación anual. ",1167606000000,19,2007,15.2,3.4013605442176873
44,IPV917,"Asturias, Principado de. Vivienda nueva. Variación en lo que va de año. ",1191189600000,22,2007,11.9,-21.71052631578947
44,IPV917,"Asturias, Principado de. Vivienda nueva. Variación en lo que va de año. ",1183240800000,21,2007,9.7,-18.487394957983202
44,IPV917,"Asturias, Principado de. Vivienda nueva. Variación en lo que va de año. ",1175378400000,20,2007,6.3,-35.051546391752574
44,IPV917,"Asturias, Principado de. Vivienda nueva. Variación en lo que va de año. ",1167606000000,19,2007,2.8,-55.55555555555556
45,IPV758,"Asturias, Principado de. Vivienda segunda mano. Índice. ",1191189600000,22,2007,159.4,5592.857142857143
45,IPV758,"Asturias, Principado de. Vivienda segunda mano. Índice. ",1183240800000,21,2007,163.04,2.283563362609778
45,IPV758,"Asturias, Principado de. Vivienda segunda mano. Índice. ",1175378400000,20,2007,161.25,-1.0978900883218794
45,IPV758,"Asturias, Principado de. Vivienda segunda mano. Índice. ",1167606000000,19,2007,155.57,-3.5224806201550427
46,IPV916,"Asturias, Principado de. Vivienda segunda mano. Variación trimestral. ",1191189600000,22,2007,-2.2,-101.41415439994856
46,IPV916,"Asturias, Principado de. Vivienda segunda mano. Variación trimestral. ",1183240800000,21,2007,1.1,-150.0
46,IPV916,"Asturias, Principado de. Vivienda segunda mano. Variación trimestral. ",1175378400000,20,2007,3.7,236.36363636363632
46,IPV916,"Asturias, Principado de. Vivienda segunda mano. Variación trimestral. ",1167606000000,19,2007,2.3,-37.837837837837846
47,IPV915,"Asturias, Principado de. Vivienda segunda mano. Variación anual. ",1191189600000,22,2007,4.8,108.69565217391306
47,IPV915,"Asturias, Principado de. Vivienda segunda mano. Variación anual. ",1183240800000,21,2007,9.0,87.50000000000001
47,IPV915,"Asturias, Principado de. Vivienda segunda mano. Variación anual. ",1175378400000,20,2007,12.1,34.444444444444436
47,IPV915,"Asturias, Principado de. Vivienda segunda mano. Variación anual. ",1167606000000,19,2007,16.4,35.53719008264462
48,IPV914,"Asturias, Principado de. Vivienda segunda mano. Variación en lo que va de año. ",1191189600000,22,2007,4.8,-70.73170731707317
48,IPV914,"Asturias, Principado de. Vivienda segunda mano. Variación en lo que va de año. ",1183240800000,21,2007,7.2,50.000000000000014
48,IPV914,"Asturias, Principado de. Vivienda segunda mano. Variación en lo que va de año. ",1175378400000,20,2007,6.0,-16.666666666666668
48,IPV914,"Asturias, Principado de. Vivienda segunda mano. Variación en lo que va de año. ",1167606000000,19,2007,2.3,-61.66666666666667
49,IPV757,"Balears, Illes. General. Índice. ",1191189600000,22,2007,141.16,6037.391304347826
49,IPV757,"Balears, Illes. General. Índice. ",1183240800000,21,2007,141.55,0.2762822329271853
49,IPV757,"Balears, Illes. General. Índice. ",1175378400000,20,2007,138.93,-1.8509360649947046
49,IPV757,"Balears, Illes. General. Índice. ",1167606000000,19,2007,134.28,-3.34700928525157
50,IPV913,"Balears, Illes. General. Variación trimestral. ",1191189600000,22,2007,-0.3,-100.22341376228776
50,IPV913,"Balears, Illes. General. Variación trimestral. ",1183240800000,21,2007,1.9,-733.3333333333333
50,IPV913,"Balears, Illes. General. Variación trimestral. ",1175378400000,20,2007,3.5,84.21052631578948
50,IPV913,"Balears, Illes. General. Variación trimestral. ",1167606000000,19,2007,2.0,-42.857142857142854
51,IPV912,"Balears, Illes. General. Variación anual. ",1191189600000,22,2007,7.2,260.0
51,IPV912,"Balears, Illes. General. Variación anual. ",1183240800000,21,2007,10.1,40.27777777777777
51,IPV912,"Balears, Illes. General. Variación anual. ",1175378400000,20,2007,10.9,7.920792079207928
51,IPV912,"Balears, Illes. General. Variación anual. ",1167606000000,19,2007,13.6,24.770642201834857
52,IPV911,"Balears, Illes. General. Variación en lo que va de año. ",1191189600000,22,2007,7.2,-47.05882352941176
52,IPV911,"Balears, Illes. General. Variación en lo que va de año. ",1183240800000,21,2007,7.5,4.166666666666664
52,IPV911,"Balears, Illes. General. Variación en lo que va de año. ",1175378400000,20,2007,5.5,-26.666666666666668
52,IPV911,"Balears, Illes. General. Variación en lo que va de año. ",1167606000000,19,2007,2.0,-63.63636363636363
53,IPV756,"Balears, Illes. Vivienda nueva. Índice. ",1191189600000,22,2007,120.98,5949.0
53,IPV756,"Balears, Illes. Vivienda nueva. Índice. ",1183240800000,21,2007,119.0,-1.63663415440569
